ID_placowki,Adres_placowki,Is_centrum_dystrybucyjne
0,aleja Rzeczna 07 87-038 Radom,False
1,plac Stolarska 960 65-569 Chojnice,False
2,al. Poziomkowa 54/01 44-077 Żywiec,False
3,al. Wiązowa 76/34 60-807 Jelenia Góra,False
4,ul. Złota 758 87-736 Września,False
5,ulica Orla 108 62-673 Ostrołęka,False
6,aleja Nowa 55/83 77-001 Iława,False
7,al. Spółdzielcza 953 64-534 Chojnice,False
8,al. Chabrowa 45/07 05-043 Ostrów Mazowiecka,False
9,ul. Podleśna 946 79-445 Koszalin,False
10,al. Cegielniana 88 65-978 Ostrów Mazowiecka,True
11,aleja Letnia 10 32-303 Krotoszyn,True
12,al. Nałkowskiej 88/86 19-785 Śrem,True
13,plac Plażowa 14 12-787 Wałbrzych,True
14,ul. Willowa 894 47-540 Białogard,True
15,aleja Krucza 57 25-840 Wodzisław Śląski,True
16,al. Moniuszki 415 86-375 Bydgoszcz,True
17,pl. Sosnowa 02/66 13-112 Żory,True
18,ul. Kusocińskiego 602 17-506 Dąbrowa Górnicza,True
19,aleja Malczewskiego 072 91-704 Poznań,True
