ID transportu,ID ciezarowki,Data awarii,Kod awarii
4,2,2024-01-29 10:18:49,UO
4,2,2024-01-29 06:50:09,DBXYR
10,6,2023-04-19 20:56:22,QHS
16,6,2022-02-08 09:00:43,00NL
21,1,2022-06-29 22:55:50,RBFEH
21,1,2022-06-29 03:03:29,95
21,1,2022-06-29 04:26:02,AG4
21,1,2022-06-29 09:45:22,W9VD
25,0,2023-01-03 07:23:42,8GUHK
25,0,2023-01-03 23:17:33,3E
25,0,2023-01-03 01:45:48,QH5BT
25,0,2023-01-03 05:31:36,SG6
25,0,2023-01-03 18:43:08,16YL
29,3,2023-06-29 05:46:34,UN
29,3,2023-06-29 04:33:55,LC
29,3,2023-06-29 19:30:05,PA2EH
29,3,2023-06-29 03:11:33,RA8
31,10,2022-09-28 19:06:27,FCI
31,10,2022-09-28 19:00:04,K8
31,10,2022-09-28 02:14:18,9TSE
31,10,2022-09-28 01:58:11,0355V
31,10,2022-09-28 02:44:06,AS
37,10,2022-12-09 04:51:48,I8X2
37,10,2022-12-09 02:43:16,0S7
37,10,2022-12-09 17:05:55,NTT5
37,10,2022-12-09 21:09:00,BQV0
44,0,2024-09-13 22:48:37,K9SJ
44,0,2024-09-13 19:04:51,U6
48,7,2024-09-15 15:50:01,1H
48,7,2024-09-15 08:44:55,1BUJ
48,7,2024-09-15 12:53:59,JD
55,2,2023-12-06 08:41:48,CGD
