ID transportu,ID ciezarowki,Zuzycie paliwa,Typ paliwa,Data pomiaru,Emisja tlenkow wegla,Emisja tlenkow azotu,Emisja tlenkow siarki
0,8,576,PB95,2023-07-26 05:50:38,1724.62,30.94,5.37
0,3,108,PB95,2023-08-12 03:50:08,1632.49,71.9,1.5
0,5,571,LPG,2024-01-20 09:24:34,1631.83,25.69,4.52
0,0,358,PB95,2024-01-26 07:53:23,1421.83,38.68,9.76
0,6,191,PB95,2024-01-29 09:51:06,1330.41,60.22,0.35
0,6,749,ON,2024-02-14 17:41:01,509.39,45.28,1.14
0,4,305,PB95,2020-07-12 02:36:32,908.56,30.73,1.33
0,1,332,ON,2022-10-24 10:42:27,1340.84,48.44,7.12
0,0,126,PB95,2023-01-13 00:20:00,1779.69,76.09,9.87
0,1,268,PB95,2023-04-09 09:10:39,1096.61,67.91,6.4
0,4,490,PB95,2023-04-19 21:40:30,1260.52,79.3,9.29
0,8,645,LPG,2023-05-08 11:48:51,1151.76,30.03,8.24
0,3,294,PB95,2023-05-08 21:41:51,352.49,58.09,3.3
0,4,75,PB95,2023-05-11 13:20:28,638.4,58.28,3.18
0,10,347,LPG,2023-05-11 03:38:57,688.55,78.21,6.27
0,5,233,PB95,2021-02-08 07:28:34,401.28,37.44,5.01
0,4,344,LPG,2022-02-08 02:56:15,1147.42,52.85,5.36
0,1,542,LPG,2022-05-25 01:19:01,460.41,59.87,5.23
0,10,735,PB95,2022-06-01 10:18:57,641.73,26.79,9.88
0,7,755,ON,2022-06-25 09:42:08,1723.17,51.4,1.08
0,9,416,LPG,2022-06-27 13:53:55,1067.1,56.82,4.84
0,5,296,PB95,2022-06-29 23:52:34,449.68,66.55,8.63
0,2,813,PB95,2022-07-03 05:16:00,1307.05,64.18,7.33
0,5,990,PB95,2022-07-04 07:55:20,464.94,37.46,2.2
0,2,877,LPG,2022-08-22 01:57:03,358.68,70.69,8.72
0,1,843,PB95,2023-01-03 11:39:00,1624.97,23.01,2.86
0,3,952,ON,2023-06-02 09:25:04,1119.83,56.3,1.24
0,3,512,ON,2023-06-07 22:17:14,1249.07,49.9,4.56
0,10,967,PB95,2023-06-22 11:47:03,1223.9,39.36,7.99
0,9,706,PB95,2023-06-29 16:02:02,1464.6,29.37,6.34
0,1,43,PB95,2023-07-05 20:02:52,1632.89,25.68,0.26
31,10,498,LPG,2023-07-26 08:54:00,658.83,64.89,5.85
31,2,77,ON,2023-08-12 07:07:31,1000.53,20.53,3.66
31,10,847,PB95,2024-01-20 16:40:56,439.52,47.78,4.66
31,6,356,ON,2024-01-26 02:16:20,762.34,43.89,3.93
31,4,339,ON,2024-01-29 09:34:53,1079.54,46.89,4.01
31,0,576,ON,2024-02-15 00:37:42,1779.02,24.04,4.12
31,0,304,PB95,2020-07-12 12:01:39,346.58,35.16,6.98
31,4,524,ON,2022-10-24 10:03:52,1794.83,46.16,1.59
31,8,475,ON,2023-01-12 19:12:18,612.33,43.38,1.19
31,2,796,LPG,2023-04-09 16:42:49,1543.61,23.5,9.44
31,10,353,LPG,2023-04-19 11:52:04,1582.38,59.74,6.71
31,5,981,ON,2023-05-08 19:28:07,1612.07,66.45,7.79
31,1,808,ON,2023-05-08 19:38:29,1038.26,47.4,8.42
31,10,96,ON,2023-05-11 14:47:15,406.63,22.95,8.33
31,2,308,ON,2023-05-12 00:54:53,523.34,60.97,1.93
31,1,715,LPG,2021-02-08 16:09:51,581.8,76.58,5.78
31,7,897,LPG,2022-02-08 21:20:30,918.62,64.65,3.97
31,6,460,PB95,2022-05-25 03:54:57,1150.69,62.6,5.35
31,6,502,LPG,2022-06-01 08:40:07,805.28,37.03,5.11
31,2,812,PB95,2022-06-25 09:55:31,698.86,25.73,3.62
31,6,254,ON,2022-06-27 04:04:28,1589.93,44.91,6.6
31,0,644,ON,2022-06-29 08:21:06,1626.32,54.14,2.52
31,6,58,ON,2022-07-03 12:49:54,1185.1,61.04,8.42
31,10,358,LPG,2022-07-04 21:02:11,619.53,34.48,1.52
31,10,861,ON,2022-08-22 22:33:36,1485.54,22.81,4.54
31,9,957,ON,2023-01-03 03:43:57,633.25,35.88,6.56
31,0,40,PB95,2023-06-02 23:41:48,1186.65,45.87,0.21
31,6,472,ON,2023-06-07 22:15:40,793.64,24.28,1.5
31,9,105,LPG,2023-06-22 17:02:46,1192.02,39.39,6.76
31,3,298,ON,2023-06-29 15:45:43,374.6,52.38,5.43
31,8,760,ON,2023-07-05 15:35:11,559.64,44.25,7.89
31,5,997,ON,2022-05-11 11:40:55,1791.7,60.53,2.87
31,3,446,PB95,2022-06-04 12:00:20,1157.75,72.11,6.53
31,0,646,ON,2023-06-15 20:37:35,759.76,28.48,2.56
31,2,936,LPG,2023-09-15 04:28:09,1701.07,60.0,1.33
31,5,312,PB95,2023-10-24 19:56:21,1040.07,30.76,6.69
31,0,499,LPG,2024-01-05 08:13:52,1693.37,62.29,4.2
31,4,464,PB95,2024-02-08 12:58:08,375.33,58.77,4.7
31,5,870,LPG,2024-02-10 17:15:50,1646.59,54.34,5.69
31,8,972,ON,2024-02-12 03:58:56,324.45,31.03,2.24
31,0,800,PB95,2024-02-14 11:15:16,1251.76,67.16,1.69
31,0,24,ON,2021-08-25 07:34:09,717.65,31.18,4.81
31,6,613,ON,2022-08-09 03:37:04,1267.45,41.92,7.03
31,5,814,PB95,2022-09-16 12:00:51,336.13,48.01,2.47
31,5,650,ON,2022-10-03 01:51:27,1208.31,30.41,6.34
31,9,26,LPG,2022-10-05 16:51:30,1650.44,38.49,4.2
31,5,464,PB95,2022-10-06 21:54:09,551.28,24.94,5.03
31,2,648,ON,2022-10-24 20:43:19,633.78,27.81,1.11
31,4,346,PB95,2022-04-03 07:31:37,683.16,74.39,1.1
31,1,983,ON,2023-03-29 02:27:54,600.83,21.38,2.0
31,10,467,ON,2023-05-04 17:30:37,1667.6,22.96,8.8
31,6,308,LPG,2023-05-07 14:36:31,732.42,43.71,8.16
31,3,883,PB95,2022-01-14 17:12:58,572.14,33.89,9.54
31,7,496,PB95,2022-04-23 06:28:36,1691.54,47.4,4.29
31,1,582,LPG,2022-05-14 07:15:16,338.77,66.27,4.55
31,2,297,LPG,2022-06-03 01:51:42,1624.76,50.42,7.54
31,7,596,PB95,2022-06-30 21:24:11,1753.03,59.94,8.17
31,2,326,ON,2022-07-03 17:56:54,744.65,49.36,1.82
31,1,953,ON,2022-07-03 11:58:03,664.63,31.64,8.59
31,3,40,LPG,2022-07-03 14:31:51,1782.28,52.97,1.95
31,6,287,PB95,2022-07-03 07:33:23,570.1,33.45,3.33
31,2,567,ON,2022-07-03 17:08:57,711.65,75.04,0.48
31,0,226,LPG,2022-07-03 21:11:50,319.95,36.81,6.86
31,9,390,ON,2022-07-03 02:19:26,986.43,23.07,9.86
31,0,389,PB95,2022-07-03 11:38:38,408.69,72.31,2.97
31,6,365,PB95,2022-07-03 23:56:26,1446.78,20.83,4.63
31,4,727,PB95,2022-07-03 06:02:49,1635.79,29.57,9.78
31,7,210,LPG,2022-07-03 05:54:35,1066.66,44.92,4.55
31,3,332,PB95,2022-07-04 13:50:56,492.72,40.24,8.16
31,10,611,ON,2023-03-15 06:56:01,1130.33,62.98,0.3
31,7,517,ON,2023-05-19 13:02:32,829.41,27.6,1.95
31,9,325,LPG,2023-07-03 16:34:24,320.98,76.37,9.31
31,7,150,ON,2023-07-03 16:58:21,991.35,51.58,4.83
31,6,853,PB95,2023-07-03 16:36:01,1108.64,68.98,7.72
31,8,622,PB95,2023-07-04 09:49:16,426.22,48.64,6.19
31,10,27,LPG,2023-07-04 05:22:39,354.7,64.6,10.01
31,0,729,LPG,2023-07-04 06:17:53,684.55,78.42,4.39
31,3,409,PB95,2023-07-04 12:17:11,858.43,63.57,8.62
31,1,625,ON,2023-07-04 10:02:43,1437.17,68.25,3.27
31,8,861,ON,2023-07-04 11:27:35,1198.69,54.25,1.72
31,5,57,PB95,2023-07-04 08:09:11,899.78,38.95,4.76
31,2,514,LPG,2023-07-05 00:39:58,509.84,49.24,0.32
31,1,21,LPG,2023-07-04 23:50:09,916.33,65.98,3.62
31,8,216,ON,2023-07-04 04:09:19,1553.36,24.19,8.56
31,5,742,PB95,2023-07-05 05:11:31,1395.1,28.31,8.09
31,8,790,ON,2023-01-25 18:54:32,1056.32,36.13,9.4
31,2,101,PB95,2023-04-07 06:50:36,936.33,54.85,8.81
31,1,134,PB95,2023-05-01 21:07:15,813.83,56.9,6.71
31,10,585,PB95,2024-11-20 05:14:37,1729.87,24.18,8.57
31,5,814,ON,2025-04-17 11:51:06,918.78,42.98,0.06
31,6,858,ON,2025-05-26 23:09:35,679.27,65.38,7.18
31,8,345,LPG,2025-06-02 06:14:45,654.31,47.25,3.21
31,3,491,ON,2025-06-02 16:58:52,1688.41,58.38,2.54
31,3,193,PB95,2025-06-04 06:53:38,1406.92,47.95,3.91
31,1,697,PB95,2025-06-04 22:44:39,781.2,25.57,1.96
31,4,109,PB95,2025-06-04 13:24:12,1325.25,67.68,0.81
31,7,567,PB95,2025-06-04 07:07:55,1288.4,52.82,1.28
31,7,411,LPG,2025-06-04 03:56:52,1586.02,42.88,8.71
31,4,135,ON,2025-06-04 20:18:20,1024.95,44.99,6.73
31,5,937,ON,2024-02-29 01:17:21,1139.15,76.44,7.4
31,6,543,PB95,2024-10-25 10:39:04,986.37,79.91,1.95
31,7,373,LPG,2024-12-31 03:23:42,1792.34,52.72,8.17
31,1,533,LPG,2025-01-08 17:53:28,1279.84,60.02,9.99
31,3,38,PB95,2025-01-12 03:16:01,1024.86,78.49,8.46
31,5,629,PB95,2025-01-12 18:50:52,1063.47,24.29,4.46
31,8,283,LPG,2025-01-12 07:00:47,1024.06,27.64,3.77
31,7,611,PB95,2025-01-12 23:31:26,1050.82,41.23,8.84
31,7,827,PB95,2025-01-12 14:38:04,1036.11,61.92,3.11
31,6,225,ON,2025-01-12 17:54:07,1493.36,24.78,1.59
31,3,358,ON,2025-01-12 22:58:36,1309.75,22.45,5.41
31,4,227,ON,2025-01-12 11:24:41,1077.08,35.91,2.92
31,9,891,PB95,2025-01-12 03:53:50,1461.41,30.64,6.41
31,8,643,LPG,2025-01-12 03:29:26,1645.41,22.68,9.23
31,6,994,PB95,2025-01-12 14:20:44,458.93,78.48,2.74
31,10,779,ON,2025-01-13 04:05:13,1425.43,26.8,5.39
31,9,609,PB95,2022-07-10 14:57:25,1029.15,59.87,6.07
31,10,161,LPG,2023-05-29 09:50:05,371.54,30.2,1.52
31,6,232,ON,2021-07-13 23:22:48,1327.2,49.77,7.69
31,10,465,ON,2021-08-03 23:22:32,933.39,67.35,3.07
31,3,260,PB95,2021-08-05 21:25:12,846.71,77.11,9.44
31,7,573,LPG,2021-08-06 22:29:00,739.97,48.24,8.55
31,3,363,LPG,2021-08-13 01:56:08,646.43,65.06,2.29
31,5,148,LPG,2021-08-13 18:06:34,631.83,26.43,0.77
31,7,379,PB95,2021-08-13 16:27:47,1136.95,56.38,1.8
31,9,689,PB95,2021-08-13 11:49:45,1268.4,68.62,2.01
31,0,689,ON,2021-08-13 13:47:12,1459.02,59.92,5.37
31,7,804,ON,2023-02-09 11:19:05,1256.14,37.21,7.1
31,5,451,PB95,2023-06-08 10:22:59,1302.25,49.67,8.28
31,7,655,PB95,2023-08-22 16:48:20,684.01,50.34,8.95
31,1,796,PB95,2023-09-01 19:30:08,607.73,55.57,3.26
31,5,341,PB95,2023-09-02 15:30:40,1627.3,45.54,9.46
31,1,804,LPG,2023-09-05 20:56:17,1011.35,64.44,2.73
31,10,649,LPG,2023-09-07 12:51:22,414.23,39.01,8.93
31,3,100,PB95,2023-09-09 04:03:21,691.49,35.9,1.46
31,1,335,PB95,2023-09-10 13:04:33,433.19,55.55,8.22
31,0,713,LPG,2023-09-10 06:10:03,1675.1,26.68,2.95
31,5,639,LPG,2023-09-10 04:35:39,414.87,51.14,7.59
31,1,260,LPG,2023-09-11 00:07:12,1131.91,27.5,1.97
31,6,971,PB95,2023-09-10 16:42:06,754.09,25.38,6.84
31,1,412,LPG,2023-09-10 07:04:32,1199.52,77.82,1.94
31,2,476,PB95,2023-09-10 13:49:17,735.96,68.67,4.24
31,8,433,LPG,2023-09-10 12:35:19,1764.97,24.08,2.34
31,2,237,PB95,2023-09-10 07:43:54,1114.82,24.8,9.22
31,10,128,LPG,2023-09-10 05:18:31,1395.79,66.16,0.1
31,4,410,ON,2023-09-10 09:15:03,939.5,29.94,9.23
31,7,237,ON,2023-09-10 21:04:10,1207.5,56.53,6.7
31,6,503,LPG,2023-12-13 03:50:51,430.64,57.63,8.65
31,10,346,ON,2024-06-03 11:21:10,794.79,35.72,5.42
31,8,887,LPG,2024-06-15 22:27:53,1033.74,31.38,9.53
31,0,551,LPG,2024-07-05 20:16:01,1237.14,37.32,7.3
31,8,119,ON,2024-07-10 08:21:59,1407.25,22.56,4.97
31,8,38,PB95,2024-07-22 21:08:15,1689.83,29.71,1.7
31,2,303,ON,2024-07-30 14:49:48,1185.04,68.45,7.48
31,10,117,PB95,2024-08-08 06:36:26,429.58,54.26,8.92
31,10,249,LPG,2024-08-09 19:48:28,1731.21,66.71,6.27
31,7,770,PB95,2024-08-11 08:37:46,550.01,47.6,4.71
31,2,809,LPG,2024-08-13 16:45:22,1257.28,29.04,5.56
31,4,432,LPG,2022-10-21 10:06:53,618.44,20.98,2.23
31,9,720,LPG,2022-11-14 22:11:03,934.97,44.33,7.77
31,9,748,LPG,2022-12-30 04:34:02,1497.91,64.51,0.56
31,1,416,PB95,2023-01-01 09:10:15,472.0,23.12,7.3
31,4,240,LPG,2023-01-06 10:17:59,1735.89,76.35,2.32
31,10,811,LPG,2023-01-08 11:09:18,1095.29,56.22,1.95
31,2,122,ON,2023-01-08 07:46:27,467.67,38.64,9.67
31,6,511,LPG,2023-01-08 03:36:03,681.47,26.77,9.08
31,9,892,ON,2023-01-18 19:51:52,1295.91,27.61,8.9
31,0,294,ON,2023-01-20 08:05:49,405.65,72.87,4.53
31,4,803,LPG,2023-01-20 15:28:48,354.35,22.38,5.88
